cc memoryManager.c
./a.out addresses.txt
Virtual adress: 15328	Physical address: 32480	 Value: 0
Virtual adress: 34621	Physical address: 17981	 Value: 0
Virtual adress: 51365	Physical address: 32677	 Value: 0
Virtual adress: 32820	Physical address: 4148	 Value: 0
Virtual adress: 48855	Physical address: 32983	 Value: -75
Virtual adress: 12224	Physical address: 2752	 Value: 0
Virtual adress: 2035	Physical address: 33267	 Value: -4
Virtual adress: 60539	Physical address: 7291	 Value: 30
Virtual adress: 14595	Physical address: 33283	 Value: 64
Virtual adress: 13853	Physical address: 31261	 Value: 0
Virtual adress: 24143	Physical address: 33615	 Value: -109
Virtual adress: 15216	Physical address: 32368	 Value: 0
Virtual adress: 8113	Physical address: 33969	 Value: 0
Virtual adress: 22640	Physical address: 2928	 Value: 0
Virtual adress: 32978	Physical address: 4306	 Value: 32
Virtual adress: 39151	Physical address: 4079	 Value: 59
Virtual adress: 19520	Physical address: 22592	 Value: 0
Virtual adress: 58141	Physical address: 34077	 Value: 0
Virtual adress: 63959	Physical address: 21975	 Value: 117
Virtual adress: 53040	Physical address: 34352	 Value: 0
Virtual adress: 55842	Physical address: 34594	 Value: 54
Virtual adress: 585	Physical address: 17225	 Value: 0
Virtual adress: 51229	Physical address: 32541	 Value: 0
Virtual adress: 64181	Physical address: 4533	 Value: 0
Virtual adress: 54879	Physical address: 3679	 Value: -105
Virtual adress: 28210	Physical address: 34866	 Value: 27
Virtual adress: 10268	Physical address: 14620	 Value: 0
Virtual adress: 15395	Physical address: 31779	 Value: 8
Virtual adress: 12884	Physical address: 30292	 Value: 0
Virtual adress: 2149	Physical address: 35173	 Value: 0
Virtual adress: 53483	Physical address: 35563	 Value: 58
Virtual adress: 59606	Physical address: 26070	 Value: 58
Virtual adress: 14981	Physical address: 24709	 Value: 0
Virtual adress: 36672	Physical address: 35648	 Value: 0
Virtual adress: 23197	Physical address: 35997	 Value: 0
Virtual adress: 36518	Physical address: 14502	 Value: 35
Virtual adress: 13361	Physical address: 36145	 Value: 0
Virtual adress: 19810	Physical address: 36450	 Value: 19
Virtual adress: 25955	Physical address: 36707	 Value: 88
Virtual adress: 62678	Physical address: 470	 Value: 61
Virtual adress: 26021	Physical address: 36773	 Value: 0
Virtual adress: 29409	Physical address: 37089	 Value: 0
Virtual adress: 38111	Physical address: 37343	 Value: 55
Virtual adress: 58573	Physical address: 15565	 Value: 0
Virtual adress: 56840	Physical address: 37384	 Value: 0
Virtual adress: 41306	Physical address: 24922	 Value: 40
Virtual adress: 54426	Physical address: 19354	 Value: 53
Virtual adress: 3617	Physical address: 10017	 Value: 0
Virtual adress: 50652	Physical address: 18652	 Value: 0
Virtual adress: 41452	Physical address: 25068	 Value: 0
Virtual adress: 20241	Physical address: 16657	 Value: 0
Virtual adress: 31723	Physical address: 12267	 Value: -6
Virtual adress: 53747	Physical address: 1011	 Value: 124
Virtual adress: 28550	Physical address: 28038	 Value: 27
Virtual adress: 23402	Physical address: 20586	 Value: 22
Virtual adress: 21205	Physical address: 37845	 Value: 0
Virtual adress: 56181	Physical address: 25205	 Value: 0
Virtual adress: 57470	Physical address: 38014	 Value: 56
Virtual adress: 39933	Physical address: 38397	 Value: 0
Virtual adress: 34964	Physical address: 26772	 Value: 0
Virtual adress: 24781	Physical address: 38605	 Value: 0
Virtual adress: 41747	Physical address: 38675	 Value: -60
Virtual adress: 62564	Physical address: 356	 Value: 0
Virtual adress: 58461	Physical address: 15453	 Value: 0
Virtual adress: 20858	Physical address: 39034	 Value: 20
Virtual adress: 49301	Physical address: 8597	 Value: 0
Virtual adress: 40572	Physical address: 39292	 Value: 0
Virtual adress: 23840	Physical address: 39456	 Value: 0
Virtual adress: 35278	Physical address: 39886	 Value: 34
Virtual adress: 62905	Physical address: 28601	 Value: 0
Virtual adress: 56650	Physical address: 13386	 Value: 55
Virtual adress: 11149	Physical address: 40077	 Value: 0
Virtual adress: 38920	Physical address: 3848	 Value: 0
